item-name,seller-sku,asin,error
ASIN1,2U-R3N7-PBN,"TEST 12","No products found with the given seller-sku"
ASIN3,Men-Jeans-1,"Men's Casual Skinny Jeans","No products found with the given seller-sku"
ASIN4,B08CKYJ1K,"Thermador 8mm Toughened ISI Certified 2 Brass Burner Glass Top Gas Stove","No products found with the given seller-sku"
ASIN5,B07P13VF3,"Solimo Non Stick Kadhai with Glass Lid (26 cm, Hammertone finish, 3 coat, 2.9mm thickness), Aluminium, Black","No products found with the given seller-sku"
ASIN6,P0-F7RO-SFLL,"OWN THE NET Pickleball Paddles","No products found with the given seller-sku"
ASIN8,B07XQFDD99,"OWN THE NET Pickleball Paddles","No products found with the given seller-sku"
ASIN9,B083BXVVT8,"B083BXVVT8 boAt Xtend Smartwatch with Alexa Built-in","No products found with the given seller-sku"
ASIN10,B07SZ219YW,"Parx White Regular Fit T-Shirt B07SZ219YW","No products found with the given seller-sku"
ASIN11,B00DECLNCK,"MCF - TEST B00DECLNCK","No products found with the given seller-sku"
ASIN12,B07DXKRLXK,"MCF - TEST B07DXKRLXK","No products found with the given seller-sku"
ASIN13,B07DXKRLXK-1,"MCF - TEST B07DXKRLXK","No products found with the given seller-sku"
ASIN14,24-MB05,"boAt Xtend Smartwatch with Alexa Built-in","No products found with the given seller-sku"
ASIN15,PB-HVB-4925-1,"OWN THE NET Pickleball Paddles, USA-Based Brand, Premium Pickleball Paddle Set","No products found with the given seller-sku"
ASIN17,B001LLFBVU-1,"TEST PRODUCT 123","No products found with the given seller-sku"
,PB-4901,"TEST 13","No products found with the given seller-sku"
ASIN20,P0-F7RO-SFLL-1,"TEST 15","No products found with the given seller-sku"
ASIN21,B08KDBXHPD,"TEST 16","No products found with the given seller-sku"
ASIN22,B08KDBXHPD-1,"TEST 16","No products found with the given seller-sku"
,A-1506203396,"TEST 15","No products found with the given seller-sku"
ASIN24,24-UG02,"TEST 15","No products found with the given seller-sku"
ASIN25,B076BJ66G,"TEST 000","No products found with the given seller-sku"
ASIN26,NY-MDM3-LCWJ,"TEST 00000","No products found with the given seller-sku"
ASIN28,8S-PBT3-8T7K,"TEST 00000","No products found with the given seller-sku"
MCF-QA-Test-Item,MCF-QA-Test-Item,MCF-QA-Test-Item
ASIN30,480531351X-12-1,"boAt Xtend Smartwatch with Alexa Built-in","No products found with the given seller-sku"
9Y-KN7U-N7UD,9Y-KN7U-N7UD,"ust 9 Inch High-Impact, Durable, Reusable Plastic Tent Peg with No-Slip Hooks for Camping ","No products found with the given seller-sku"
